INN_Name,BrandName,Phase,Applicants,Links,LigID,pdbID,Type,RoF,MW,LogP,TPSA,HBA,HBD,NRB,Indications,Targets,Kinase families,Canonical_Smiles_InChiKey,First_Approval,SC_Patent,Chirality,Synonyms,FDA approved,Melting points (°C)
Ibrutinib,Imbruvica,4,Pharmacyclics,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'1E8',4ifg 4rz7 5p9i 5yu9,1.5,0,440.2,4.2,99.2,7,1,5,"Ibrutinib was approved by the FDA for the treatment of mantle cell lymphoma, and later in February 2014 for the treatment of chronic lymphocytic leukemia",BTK,Tyr,"Smiles=C=CC(=O)N1CCC[C@H](C1)n2c3c(c(n2)c4ccc(cc4)Oc5ccccc5)c(ncn3)N
InChiKey=XYFPWWZEPKGCCK-GOSISDBHSA-N",2013,US-7514444-B2,Single Stereoisomer,"Imbruvica
PCI-32765
PCI-32765-00
Ibrutinib
CRA-032765",Y,149-158
Icotinib,nan,4,Zhejiang Beta Pharma,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,391.2,3.2,74.7,7,1,2,"Icotinib hydrochloride is a novel epidermal growth factor receptor (EGFR)–tyrosine kinase inhibitor, exhibits encouraging efficacy and tolerability in patients with advanced non-small-cell lung cancer (NSCLC) who failed previous chemotherapy.",EGFR,Tyr,"Smiles=C#Cc1cccc(c1)Nc2c3cc4c(cc3ncn2)OCCOCCOCCO4
InChiKey=QQLKULDARVNMAL-UHFFFAOYSA-N",2011,nan,nan,BPI-2009H,N,
Idelalisib,Zydelig,4,Gilead Sciences,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'40L',4xe0,1,0,415.2,3.8,101.4,7,2,5,"Idelalisib is indicated in the treatment of chronic lymphocytic leukemia (CLL), relapsed follicular B-cell non-Hodgkin lymphoma (FL), and relapsed small lymphocytic lymphoma (SLL). For the treatment of relapsed CLL, it is currently indicated as a second-line agent in combination with rituximab in patients for whom rituximab alone would be considered appropriate therapy due to other co-morbidities, while in the treatment of FL and SLL it is intended to be used in patients who have received at least two prior systemic therapies.",PIK3CD,Atypical,"Smiles=CC[C@@H](c1nc2cccc(c2c(=O)n1c3ccccc3)F)Nc4c5c([nH]cn5)ncn4
InChiKey=IFSDAJWBUCMOAH-HNNXBMFYSA-N",2014,US-6800620-B2,Single Stereoisomer,"Zydelig
GS-1101
GS-11CAL-101
Idelalisib
CAL-101",Y,
Ilorasertib,nan,2,Abbott Laboratories,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,1,488.1,5.2,118.1,7,4,6,nan,"AURKA
AURKB
AURKC
FLT1
PDGFRA
PDGFRB","Tyr
Other","Smiles=c1cc(cc(c1)F)NC(=O)Nc2ccc(cc2)c3csc4c3c(ncc4c5cnn(c5)CCO)N
InChiKey=WPHKIQPVPYJNAX-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"A-968660
ABT-348
Ilorasertib",,
Imatinib,Gleevec,4,Novartis,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'STI',1iep 1opj 1t46 1xbb 2hyy 2oiq 2pl0 3fw1 3gvu 3hec 3k5v 3ms9 3mss 3oez 3pyy 4bkj 4csv 4r7i 5mqt 6hd4 6hd6 6npe 6npu 6npv,2,0,493.3,4.6,86.3,7,2,7,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).","KIT
RET
NTRK1
CSF1R
PDGFRA
DDR1
ABL1
PDGFRB",Tyr,"Smiles=Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C
InChiKey=KTUFNOKKBVMGRW-UHFFFAOYSA-N",2001,US-6894051-B1,Achiral Molecule,"Gleevec
Imatinib
STI-571",Y,226
Infigratinib,nan,2,Novartis,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'07J',3tt0,1,2,559.2,5.4,95.1,8,2,8,nan,"FGFR1
FGFR2
FGFR3",Tyr,"Smiles=CCN1CCN(CC1)c2ccc(cc2)Nc3cc(ncn3)N(C)C(=O)Nc4c(c(cc(c4Cl)OC)OC)Cl
InChiKey=QADPYRIHXKWUSV-UHFFFAOYSA-N",nan,nan,nan,"BGJ-398
NVP-BGJ398",,
Ipatasertib,nan,3,Hoffmann-La Roche,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'0RF',4ekl,1,0,457.2,3.1,81.6,6,2,6,nan,"AKT1
AKT2
AKT3",AGC,"Smiles=C[C@@H]1C[C@H](c2c1c(ncn2)N3CCN(CC3)C(=O)[C@H](CNC(C)C)c4ccc(cc4)Cl)O
InChiKey=GRZXWCHAXNAUHY-NSISKUIASA-N",nan,nan,Single Stereoisomer,"GDC-0068
Ipatasertib
RG-7440",,
Itacitinib,nan,3,Incyte Corporation,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,1,553.2,3.6,119.6,8,1,5,nan,JAK1,Tyr,"Smiles=c1cnc-2[nH]cnc(c12)c3cnn(c3)C4(CN(C4)C5CCN(CC5)C(=O)c6ccnc(c6F)C(F)(F)F)CC#N
InChiKey=KTBSXLIQKWEBRB-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"INCB-039110
INCB-39110
Itacitinib
INCB039110",,
Lapatinib,Tykerb,4,GlaxoSmithKline,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'FMM',1xkk 3bbt,1.5,2,580.1,6.1,106.4,8,2,11,"Indicated in combination with capecitabine for the treatment of patients with advanced or metastatic breast cancer whose tumors overexpress the human epidermal receptor type 2 (HER2) protein and who have received prior therapy including an anthracycline, a taxane, and trastuzuma.","EGFR
ERBB2",Tyr,"Smiles=CS(=O)(=O)CCNCc1ccc(o1)c2ccc3c(c2)c(ncn3)Nc4ccc(c(c4)Cl)OCc5cccc(c5)F
InChiKey=BCFGMOOMADDAQU-UHFFFAOYSA-N",2007,US-6391874-B1,Achiral Molecule,"Tyverb
GW-2016
GW-572016
Lapatinib",Y,
Larotrectinib,Vitrakvi,4,Array BioPharma,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,428.2,2.9,86,6,2,3,"On november 26, 2018, the FDA approved larotrectinib to treat patients whose cancers have a specific genetic feature (biomarker)","NTRK1
NTRK2
NTRK3",Tyr,"Smiles=c1cc(c(cc1F)[C@H]2CCCN2c3ccn4c(n3)c(cn4)NC(=O)N5CC[C@@H](C5)O)F
InChiKey=NYNZQNWKBKUAII-KBXCAEBGSA-N",2018,nan,Single Stereoisomer,"Larotrectinib
LOXO-101",Y,
Lazertinib,nan,1,Genosco,"ChemSpider
PubChem
Guide to Pharmacology
FDA SRS",NaN,NaN,nan,1,554.3,4.1,109.7,10,2,10,"Lazertinib (YH-25448, GNS-1480) is an inhibitor of the aberrant activity of EGFR mutant kinases, that was originally developed by Yuhan Corporation for antineoplastic potential in cancers with (acquired) resistance to existing EGFR tyrosine kinase inhibitors, in particular for EGFR mutation positive, advanced non-small cell lung cancer (NSCLC). In addition to predicted efficacy for the treatment of primary lung and extracranial lesions, lazertinib is expected to be beneficial for NSCLC brain metastases as it is able to cross the blood brain barrier.",nan,,"Smiles=CN(C)Cc1cn(nc1c2ccccc2)c3ccnc(n3)Nc4cc(c(cc4OC)N5CCOCC5)NC(=O)C=C
InChiKey=RRMJMHOQSALEJJ-UHFFFAOYSA-N",nan,nan,nan,,,
Leniolisib,nan,0,Novartis,"ChemSpider
ChEMBL
PubChem
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'9NQ',5o83,nan,0,450.2,2.9,83.5,7,1,5,nan,nan,,"Smiles=CCC(=O)N1CC[C@@H](C1)Nc2c3c(ncn2)CCN(C3)c4cc(c(nc4)OC)C(F)(F)F
InChiKey=MWKYMZXCGYXLPL-ZDUSSCGKSA-N",nan,nan,Single Stereoisomer,"CDZ173-NX
Leniolisib",,
Lenvatinib,Kisplyx;Lenvima,4,Eisai,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'LEV',3wzd 5zv2,1.5,0,426.1,4.1,115.6,5,3,6,"Lenvatinib is indicated for the treatment of patients with locally recurrent or metastatic, progressive, radioactive iodine-refractory differentiated thyroid cancer.","FLT1
KDR
FLT4
FGFR1
FGFR2
FGFR3
FGFR4
KIT",Tyr,"Smiles=COc1cc2c(cc1C(=O)N)c(ccn2)Oc3ccc(c(c3)Cl)NC(=O)NC4CC4
InChiKey=WOSKHXYHFSIKNG-UHFFFAOYSA-N",2015,US-7253286-B2,Achiral Molecule,"Lenvima;Kisplyx
ER-203492-00
Lenvatinib",Y,
Lestaurtinib,nan,3,Cephalon,"ChemSpider
ChEMBL
PubChem
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,439.2,3.5,88.7,6,3,1,nan,FLT3,Tyr,"Smiles=C[C@@]12[C@](C[C@@H](O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)(CO)O
InChiKey=UIARLYUEJFELEN-LROUJFHJSA-N",nan,nan,Single Stereoisomer,"KT-5555
KT-555
Lestaurtinib
SPM-924
SP-924
A-154475
CEP-701
Cep-701
SP924
A-1544750",,
Linifanib,nan,3,Abbott Laboratories,"ChemSpider
ChEMBL
PubChem
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,375.1,4.9,95.8,3,4,3,nan,"FLT3
CSF1R
KDR",Tyr,"Smiles=Cc1ccc(c(c1)NC(=O)Nc2ccc(cc2)c3cccc4c3c(n[nH]4)N)F
InChiKey=MPVGZUGXCQEXTM-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"ABT-869
RG-3635
Linifanib
AL-39324",,
Linsitinib,nan,3,Osi Pharmaceuticals,"ChemSpider
ChEMBL
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,421.2,4.8,89.3,6,2,3,nan,IGF1R,Tyr,"Smiles=C[C@]1(C[C@@H](C1)c2n3c(c(ncc3)N)c(n2)c4cc5nc(ccc5cc4)c6ccccc6)O
InChiKey=PKCDDUHJAFVJJB-VLZXCDOPSA-N",nan,nan,Single Stereoisomer,"Linsitinib
ASP-7487
OSI-906
OSI-906AA",,
Lorlatinib,Lorbrena,4,Pfizer,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'5P8',4cli 4clj 4uxl 5a9u 5aa8 5aa9,1,0,406.2,2.8,110.1,7,1,0,"On november 2, 2018, the FDA approved lorlatinib to treat patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer","ALK
ROS1",Tyr,"Smiles=C[C@@H]1c2cc(ccc2C(=O)N(Cc3c(c(n(n3)C)C#N)-c4cc(c(nc4)N)O1)C)F
InChiKey=IIXWYSCJSQVBQM-LLVKDONJSA-N",2018,nan,Single Stereoisomer,"Lorlatinib
PF-06463922",Y,
Losmapimod,nan,3,GlaxoSmithKline,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,383.2,3.9,71.1,3,2,5,nan,"MAPK14
MAPK11
MAPK13
MAPK12",CMGC,"Smiles=Cc1c(cc(cc1F)C(=O)NC2CC2)c3ccc(cn3)C(=O)NCC(C)(C)C
InChiKey=KKYABQBFGDZVNQ-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"GSKAHAB
GW856553
GW856553X
Losmapimod",,
Lucitanib,nan,2,Clovis Oncology,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'3ZC',4rwl,1,0,443.2,4.4,95.7,6,2,7,nan,"FLT1
KDR
FLT4
FGFR1
FGFR2",Tyr,"Smiles=CNC(=O)c1cccc2c1ccc(c2)Oc3ccnc4c3cc(c(c4)OCC5(CC5)N)OC
InChiKey=CUDVHEFYRIWYQD-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"E-3810
CO-3810
Lucitanib
S-80881
AL-3810",,
Masitinib,Kinavet;Masivet,3,AB Science,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'G65',5mql,nan,1,498.2,5.3,73.4,7,2,7,nan,"KIT
PDGFRA
PDGFRB
FGFR1
FGFR2
FGFR3",Tyr,"Smiles=Cc1ccc(cc1Nc2nc(cs2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C
InChiKey=WJEOLQLKVOPQFV-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"Masivet;Kinavet
Masitinib
AB-1010",,
Mavelertinib,nan,0,Pfizer,"ChemSpider
ChEMBL
PubChem
Guide to Pharmacology
ZINC
FDA SRS",NaN,NaN,nan,0,415.2,0.7,115,10,2,6,nan,nan,,"Smiles=Cn1cc(c(n1)OC)Nc2c3c(nc(n2)N4C[C@H]([C@@H](C4)F)NC(=O)C=C)n(cn3)C
InChiKey=JYIUNVOCEFIUIU-GHMZBOCLSA-N",nan,nan,Single Stereoisomer,"PF-06747775
Mavelertinib",,
Merestinib,nan,2,Eli Lilly,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'L1X',4eev,2,2,552.2,5.7,106.8,7,2,6,nan,MET,Tyr,"Smiles=Cc1ccc(c(=O)n1c2ccc(cc2)F)C(=O)Nc3ccc(c(c3)F)Oc4cc5cnn(c5cc4c6c[nH]nc6)C
InChiKey=QHADVLVFMKEIIP-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"Merestinib
LY-2801653",,
Midostaurin,Rydapt,4,Novartis Pharmaceuticals Corp,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'2K2',4nct,nan,2,570.2,5.9,77.7,6,1,3,"On april 28 , 2017, the FDA approved midostaurin to treat acute myeloid leukemia",nan,,"Smiles=C[C@@]12[C@@H]([C@@H](C[C@@H](O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)N(C)C(=O)c9ccccc9)OC
InChiKey=BMGQWWVMWDBQGC-IIFHNQTCSA-N",2017,US-7973031-B2,Single Stereoisomer,"Rydapt
Midostaurin
NVP-PKC412
PKC-412
CGP-41251",Y,235-260
Milciclib,nan,2,Nerviano Medical Sciences,"ChemSpider
ChEMBL
PubChem
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'P48',2wih 5vc6 5vd1,1,0,460.3,2.6,91.2,8,2,4,nan,"CDK1
NTRK1","Tyr
CMGC","Smiles=CC1(Cc2cnc(nc2-c3c1c(nn3C)C(=O)NC)Nc4ccc(cc4)N5CCN(CC5)C)C
InChiKey=RXZMYLDMFYNEIM-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"PHA-848125
Milciclib",,
Momelotinib,nan,3,Ym Biosciences Australia,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'C87',6fdz,nan,0,414.2,3,103.2,7,2,6,nan,"JAK1
JAK2
JAK3",Tyr,"Smiles=c1cc(ccc1c2ccnc(n2)Nc3ccc(cc3)N4CCOCC4)C(=O)NCC#N
InChiKey=ZVHNDZWQTBEVRY-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"CYT-11387
GS-0387
Momelotinib
CYT-387",,
Motesanib,nan,3,Amgen,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'706',3efl,2,0,373.2,4,78.9,5,3,5,nan,"FLT1
KDR
FLT4
PDGFRA
PDGFRB
KIT
RET",Tyr,"Smiles=CC1(CNc2c1ccc(c2)NC(=O)c3cccnc3NCc4ccncc4)C
InChiKey=RAHBGWKEPAQNFF-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"AMG-706
Motesanib",,
Mubritinib,nan,1,Takeda,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS",NaN,NaN,nan,1,468.2,6.1,66,6,0,10,nan,"EGFR
ERBB2",Tyr,"Smiles=c1cc(ccc1CCCCn2ccnn2)OCc3coc(n3)/C=C/c4ccc(cc4)C(F)(F)F
InChiKey=ZTFBIUXIQYRUNT-MDWZMJQESA-N",nan,nan,Achiral Molecule,"TAK-165
Mubritinib",,
Naquotinib,nan,3,Astellas Pharma,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'8RC',5y9t,nan,1,562.3,2.3,120.2,9,2,9,nan,EGFR,Tyr,"Smiles=CCc1c(nc(c(n1)C(=O)N)Nc2ccc(cc2)N3CCC(CC3)N4CCN(CC4)C)O[C@@H]5CCN(C5)C(=O)C=C
InChiKey=QKDCLUARMDUUKN-XMMPIXPASA-N",nan,nan,Single Stereoisomer,"Naquotinib
ASP8273",,
Nazartinib,nan,3,Novartis,"ChemSpider
ChEMBL
PubChem
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,494.2,4.3,83.4,6,1,6,nan,nan,,"Smiles=Cc1cc(ccn1)C(=O)Nc2nc3cccc(c3n2[C@@H]4CCCCN(C4)C(=O)/C=C/CN(C)C)Cl
InChiKey=IOMMMLWIABWRKL-WUTDNEBXSA-N",nan,nan,nan,NAZARTINIB,,
Neflamapimod,nan,2,EIP Pharma,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'52P',3fc1 3hp5 3zsi,nan,1,435,5.5,47.3,5,0,3,nan,MAPK14,CMGC,"Smiles=c1cc(c(c(c1)Cl)c2c3ccc(nn3cnc2=O)Sc4ccc(cc4F)F)Cl
InChiKey=VEPKQEUBKLEPRA-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"Neflamapimod
VD-31
VRT-031745
VX-745
745",,
Nemiralisib,nan,0,GlaxosmithKline,"ChemSpider
ChEMBL
PubChem
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'VVX',5ae8,nan,0,440.2,4.9,77,5,2,5,nan,nan,,"Smiles=CC(C)N1CCN(CC1)Cc2cnc(o2)c3cc(cc4c3cn[nH]4)c5cccc6c5cc[nH]6
InChiKey=MCIDWGZGWVSZMK-UHFFFAOYSA-N",nan,nan,Single Stereoisomer,"GSK2269557A
GSK-2269557
Nemiralisib",,
Neratinib,Nerlynx,4,Puma Biotechnology,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,2,556.2,5.9,112.4,8,2,11,"For use as an extended adjuvant treatment in adult patients with early stage HER2-overexpressed/amplified breast cancer, to follow adjuvant trastuzumab-based therapy","ERBB2
EGFR",Tyr,"Smiles=CCOc1cc2c(cc1NC(=O)/C=C/CN(C)C)c(c(cn2)C#N)Nc3ccc(c(c3)Cl)OCc4ccccn4
InChiKey=JWNPDZNEKVCWMY-VQHVLOKHSA-N",2017,US-6288082-B1,Achiral Molecule,"WAY-179272
CDP-820
Neratinib
HKI-272",Y,
Netarsudil,Rhopressa,4,Aerie Pharmaceutical,"ChemSpider
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS",NaN,NaN,nan,0,453.2,4.9,94.3,5,2,7,"On december 18, 2017, the FDA approved netarsudil to treat glaucoma or ocular hypertension",nan,,"Smiles=Cc1ccc(c(c1)C)C(=O)OCc2ccc(cc2)[C@@H](CN)C(=O)Nc3ccc4cnccc4c3
InChiKey=OURRXQUGYQRVML-AREMUKBSSA-N",2017,nan,Racemic Mixture,AR-13324,Y,
Nilotinib,Tasigna,4,Novartis,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'NIL',3cs9 3gp0 5mo4,2,2,529.2,6.4,97.6,7,2,6,"For the potential treatment of various leukemias, including chronic myeloid leukemia (CML).","ABL1
KIT",Tyr,"Smiles=Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)C(=O)Nc4cc(cc(c4)n5cc(nc5)C)C(F)(F)F
InChiKey=HHZIURLSWUIHRB-UHFFFAOYSA-N",2007,US-7169791-B2,Achiral Molecule,"Tasigna
Nilotinib
AMN-107",Y,
Ningetinib,nan,1.5,HEC Pharm,"ChemSpider
ChEMBL
PubChem
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,2,556.2,5.4,107.6,8,2,8,"Ningetinib, also known as CT-053 or DE-120, is a VEGF and PDGF inhibitor potentially for the treatment of wet age-related macular degeneration.",nan,,"Smiles=Cc1c(c(=O)n(n1C)c2ccccc2)C(=O)Nc3ccc(c(c3)F)Oc4ccnc5c4ccc(c5)OCC(C)(C)O
InChiKey=VQYYQSZNRVQLIS-UHFFFAOYSA-N",nan,nan,nan,NINGETINIB,,
Nintedanib,Ofev;Vargatef,4,Boehringer Ingelheim,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'XIN',3c7q 5maf 5te0 6nec,1,1,539.3,3.6,94.2,7,2,7,Nintedanib is indicated for the treatment of idiopathic pulmonary fibrosis (IPF).,"FLT1
KDR
FLT4
FGFR1
FGFR2
FGFR3
FLT3
LCK
LYN
SRC",Tyr,"Smiles=CN1CCN(CC1)CC(=O)N(C)c2ccc(cc2)N/C(=C\3/c4ccc(cc4NC3=O)C(=O)OC)/c5ccccc5
InChiKey=XZXHXSATPCNXJR-ZIADKAODSA-N",2014,US-6762180-B1,Achiral Molecule,"Ofev;Vargatef
Nintedanib
BIBF-1120",Y,
Oclacitinib,nan,0,Pfizer,"ChemSpider
ChEMBL
Guide to Pharmacology
FDA SRS
BindingDB",NaN,NaN,nan,0,337.2,1.5,91,5,2,5,nan,"JAK1
JAK2
JAK3",Tyr,"Smiles=CNS(=O)(=O)C[C@H]1CC[C@@H](CC1)N(c2ncnc3c2cc[nH]3)C
InChiKey=HJWLJNBZVZDLAQ-HAQNSBGRSA-N",nan,nan,Single Stereoisomer,"Oclacitinib
JAKI
PF-03394197",,
Olmutinib,nan,2,Hanmi Pharmaceutical,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,1,486.2,5.1,82.6,8,2,7,For use in treatment of metastatic T790M mutation positive non-small cell lung cancer,EGFR,Tyr,"Smiles=CN1CCN(CC1)c2ccc(cc2)Nc3nc4ccsc4c(n3)Oc5cccc(c5)NC(=O)C=C
InChiKey=FDMQDKQUTRLUBU-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"BI 1482694
Olmutinib
HM61713
HM-61713",,
Omipalisib,nan,1,GlaxosmithKline,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'ZIG',3l08,1,1,505.1,4.8,107,7,1,6,nan,"PIK3CA
MTOR",Atypical,"Smiles=COc1c(cc(cn1)c2ccc3c(c2)c(ccn3)c4ccnnc4)NS(=O)(=O)c5ccc(cc5F)F
InChiKey=CGBJSGAELGCMKE-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"Omipalisib
GSK2126458",,
Orantinib,nan,3,Pfizer,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'SU6',4jlc 5yvc,1,0,310.1,3.1,82.2,2,3,4,nan,"KDR
PDGFRB
FGFR1",Tyr,"Smiles=Cc1c(c([nH]c1/C=C\2/c3ccccc3NC2=O)C)CCC(=O)O
InChiKey=NHFDRBXTEDBWCZ-ZROIWOOFSA-N",nan,nan,Achiral Molecule,"TSU-68
SU-6668
Orantinib",,
Osimertinib,Tagrisso,4,Astrazeneca,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'YY3',4zau,1,0,499.3,4.5,87.6,8,2,10,"Osimertinib is indicated for the treatment of patients with metastatic epidermal growth factor receptor (EGFR) T790M mutation-positive non-small cell lung cancer (NSCLC), as detected by an FDA- approved test, who have progressed on or after EGFR-TKI therapy.",EGFR,Tyr,"Smiles=Cn1cc(c2c1cccc2)c3ccnc(n3)Nc4cc(c(cc4OC)N(C)CCN(C)C)NC(=O)C=C
InChiKey=DUYJMQONPNNFPI-UHFFFAOYSA-N",2015,US-8946235-B2,Achiral Molecule,"Tagrisso
Osimertinib
AZD-9291",Y,
Pacritinib,nan,3,Cell Therapeutics,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'6T3',5lbz,nan,0,472.2,5,68.7,7,1,4,nan,JAK2,Tyr,"Smiles=c1cc2cc(c1)-c3ccnc(n3)Nc4ccc(c(c4)COC/C=C/COC2)OCCN5CCCC5
InChiKey=HWXVIOGONBBTBY-ONEGZZNKSA-N",nan,nan,Achiral Molecule,"ONX-0803
SB-1518
SB1518
Pacritinib",,
Palbociclib,Ibrance,4,Pfizer,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'LQQ',2euf 5l2i,1,0,447.2,3,105,9,2,5,"Palbociclib is indicated in combination with letrozole for the treatment of postmenopausal women with estrogen receptor (ER)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced breast cancer as initial endocrine-based therapy for their metastatic disease. This indication is approved under accelerated approval based on progression-free survival (PFS). Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial.","CDK4
CDK6",CMGC,"Smiles=Cc1c2cnc(nc2n(c(=O)c1C(=O)C)C3CCCC3)Nc4ccc(cn4)N5CCNCC5
InChiKey=AHJRHEGDXFFMBM-UHFFFAOYSA-N",2015,US-6936612-B2,Achiral Molecule,"Ibrance
Palbociclib
PD-0332991",Y,263-266
Pamapimod,nan,2,Hoffmann-La Roche,"ChemSpider
ChEMBL
PubChem
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'FLW',3flw,1,0,406.1,1.9,109.5,8,3,8,nan,"MAPK14
MAPK11",CMGC,"Smiles=Cn1c2c(cc(c1=O)Oc3ccc(cc3F)F)cnc(n2)NC(CCO)CCO
InChiKey=JYYLVUFNAHSSFE-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"R-1503
JTT-705
Pamapimod
Ro-4402257",,
